"","DBN","TotalEnrollment","ENI","PercentBlack","PercentSWD","PercentPoverty","self_contained","AllStudents_CA","AllStudents_PA","SWD_CA","SWD_PA","gifted","gifted_only","treatment"
"269","12X044",275,0.972,0.4,0.204,0.964,0,53.5,88.6,33.3,91.2,0,0,1
"270","12X047",1075,0.923,0.157,0.191,0.972,1,22.2,92.9,43.8,89.5,0,0,0
"271","12X057",509,0.941,0.22,0.238,0.898,1,47.8,88.4,59.3,85.3,0,0,0
"272","12X061",292,0.953,0.199,0.182,0.976,1,19.4,94,25,93.7,0,0,0
"273","12X066",669,0.94,0.268,0.221,0.897,1,42.3,89.5,57.6,87.5,0,0,0
"274","12X067",533,0.962,0.25,0.206,0.917,1,40,90.1,40.7,89.4,0,0,0
"275","12X134",651,0.933,0.402,0.203,0.952,1,42.5,89.9,57.1,86.5,0,0,0
"276","12X150",857,0.943,0.201,0.245,0.95,1,47.7,89.3,61.4,86.1,0,0,0
"277","12X195",964,0.96,0.162,0.216,0.939,1,32.5,90.9,37.8,89.2,0,0,0
"278","12X196",934,0.949,0.152,0.203,0.911,1,25.8,93.2,40.9,91.2,0,0,0
"279","12X211",598,0.952,0.139,0.212,0.93,1,17.2,93.6,25,94,0,0,0
"280","12X212",437,0.937,0.346,0.151,0.982,1,35.9,90.8,30.19986,91.86482,0,0,0
"281","12X214",1078,0.914,0.25,0.192,0.894,1,30.7,91.6,46.4,89.4,1,0,0
"282","12X300",614,0.936,0.362,0.308,0.901,1,36.6,90.2,38.5,89,0,0,0
"283","12X314",317,0.951,0.36,0.312,0.981,1,27.3,93,10,96.1,0,0,0
"284","12X458",208,0.872,0.115,0.192,0.957,0,7.5,93.7,25,91.3,0,0,1
"285","12X463",263,0.952,0.445,0.251,0.966,1,31.5,92.7,43.5,90.4,0,0,0
"286","12X531",501,0.897,0.251,0.265,0.97,1,40,90.9,41.7,91.2,0,0,0
"287","12X536",431,0.91,0.239,0.162,0.944,1,33.3,91.1,50,88.8,0,0,0
"288","12X691",298,0.848,0.178,0.228,0.913,0,25.5,93,41.7,90.4,0,0,1
"289","13K003",386,0.859,0.759,0.187,0.925,1,41.1,90.1,69.2,85.9,0,0,0
"290","13K008",916,0.193,0.152,0.126,0.191,0,10.7,95.7,15.4,95.3,0,0,1
"291","13K009",912,0.412,0.413,0.159,0.423,1,15.7,94.6,16.7,93.6,1,0,0
"292","13K011",894,0.477,0.647,0.113,0.456,1,6.4,96,12.5,95.4,0,0,0
"293","13K020",457,0.529,0.486,0.14,0.632,0,29.5,91.7,18.2,93.8,0,0,1
"294","13K044",139,0.927,0.835,0.237,0.964,1,38.9,92.1,30.19986,91.86482,0,0,0
"295","13K046",279,0.864,0.48,0.312,0.9,1,43.6,89.6,28.6,92.3,0,0,0
"296","13K054",208,0.895,0.538,0.202,0.942,0,52.8,89.8,62.5,87.7,0,0,1
"297","13K056",215,0.706,0.651,0.2,0.758,1,47.5,89.3,70,84.9,1,0,0
"298","13K067",219,0.972,0.589,0.361,0.995,1,18.9,93.9,14.3,94,0,0,0
"299","13K093",277,0.913,0.664,0.209,0.975,1,51.1,87.1,60,88.2,0,0,0
"300","13K133",774,0.446,0.256,0.159,0.371,1,16.1,94.3,26.9,92.3,0,0,0
"301","13K256",230,0.948,0.691,0.222,0.983,1,39.5,90.6,30,91.2,0,0,0
"302","13K270",108,0.914,0.685,0.296,0.889,1,43.8,85.5,28.6,91.6,0,0,0
"303","13K282",742,0.597,0.527,0.187,0.559,1,20.5,94.1,30.8,94.2,1,0,0
"304","13K287",179,0.909,0.676,0.268,0.933,0,47.6,87.8,41.7,86.7,0,0,1
"305","13K305",139,0.923,0.698,0.245,0.971,1,40,90.3,42.9,86.7,0,0,0
"306","13K307",366,0.825,0.56,0.369,0.792,1,27.6,91.2,42.9,89.2,0,0,0
"307","13K492",519,0.366,0.318,0.214,0.306,0,3.5,96.3,10,96.5,0,0,1
"308","14K016",223,0.964,0.341,0.305,0.924,1,34.6,91.3,55.6,90,0,0,0
"309","14K017",275,0.745,0.044,0.353,0.709,1,15.9,93.9,14.3,93.8,0,0,0
"310","14K018",178,0.854,0.202,0.343,0.882,1,42.3,92.2,47.1,92.1,0,0,0
"311","14K023",286,0.948,0.507,0.325,0.906,1,46,88,48,88,0,0,0
"312","14K031",592,0.577,0.046,0.154,0.725,0,21.4,93.2,37.5,92.7,0,0,1
"313","14K034",482,0.391,0.046,0.141,0.29,0,17.3,93.7,28.6,92.5,0,0,1
"314","14K059",312,0.959,0.51,0.266,0.952,1,32.1,91.1,46.2,88.8,0,0,0
"315","14K084",793,0.58,0.038,0.165,0.485,0,23.3,93.1,25,91.7,0,0,1
"316","14K110",523,0.353,0.034,0.098,0.273,0,10.7,95,16.7,93.5,0,0,1
"317","14K120",415,0.92,0.19,0.236,0.882,1,30.2,92.2,47.4,89.9,0,0,0
"318","14K132",723,0.537,0.141,0.12,0.429,1,17.9,93.9,36.4,88.6,1,0,0
"319","14K147",360,0.785,0.192,0.192,0.731,1,24.5,92.5,33.3,89.8,0,0,0
"320","14K157",479,0.92,0.182,0.28,0.873,1,38.2,90.8,30.8,91.9,0,0,0
"321","14K196",317,0.884,0.202,0.29,0.88,1,34.4,91.4,46.7,88.9,0,0,0
"322","14K250",488,0.859,0.111,0.141,0.805,1,42.4,90.3,55,88.2,0,0,0
"323","14K257",630,0.895,0.229,0.267,0.844,1,26.8,92.8,35.7,91.4,0,0,0
"324","14K297",223,0.96,0.381,0.229,0.928,0,38.9,91.4,58.3,88.3,0,0,1
"325","14K380",584,0.875,0.192,0.271,0.803,1,24,93.3,33.3,92.1,0,0,0
"326","14K414",597,0.616,0.027,0.221,0.628,1,17.8,94.2,35,91.8,0,0,0
"327","15K001",1294,0.897,0.008,0.175,0.863,1,13,95.3,22.2,93.5,0,0,0
"328","15K010",933,0.33,0.071,0.218,0.241,1,7.3,95.7,13.2,95.2,0,0,0
"329","15K015",497,0.777,0.342,0.324,0.726,1,28.6,92.7,28.6,92.5,0,0,0
"330","15K024",655,0.886,0.02,0.185,0.953,0,14,95.4,22.9,94.2,0,0,1
"331","15K029",927,0.114,0.032,0.124,0.123,0,4.2,96.7,9.1,96,0,0,1
"332","15K032",531,0.466,0.228,0.252,0.45,0,28.2,92.9,31,91.9,1,1,1
"333","15K038",574,0.542,0.294,0.143,0.519,1,23.9,92.5,42.9,88.5,1,0,0
"334","15K039",410,0.182,0.059,0.127,0.137,0,3.8,96,0,95.8,0,0,1
"335","15K058",993,0.118,0.029,0.144,0.11,1,0,96.4,0,96.7,0,0,0
"336","15K094",1380,0.948,0.005,0.084,0.986,1,6.2,97.3,8,94.4,0,0,0
"337","15K107",567,0.093,0.037,0.146,0.079,0,1.1,97.1,0,97.4,0,0,1
"338","15K118",307,0.133,0.114,0.117,0.14,0,2.1,96.1,0,95.2,0,0,1
"339","15K124",344,0.708,0.035,0.198,0.677,0,18.4,95.1,22.2,94.5,0,0,1
"340","15K130",832,0.485,0.069,0.22,0.411,0,5.6,95.6,9.4,94.4,0,0,1
"341","15K131",999,0.908,0.014,0.181,0.871,1,12.7,95.5,13.5,94.8,0,0,0
"342","15K146",686,0.38,0.198,0.294,0.35,0,19.8,94.3,30,92,0,0,1
"343","15K154",514,0.205,0.021,0.193,0.136,0,6.5,96,9.1,95.1,0,0,1
"344","15K169",1496,0.942,0.011,0.172,0.922,1,7,96.9,8.8,95.5,0,0,0
"345","15K172",593,0.739,0.032,0.307,0.872,0,5.7,95.8,3,95.6,0,0,1
"346","15K230",1168,0.769,0.019,0.171,0.723,1,11.2,95.6,7.1,95,1,0,0
"347","15K261",803,0.377,0.229,0.186,0.369,1,14.6,93.9,29.2,90.9,0,0,0
"348","15K295",452,0.522,0.053,0.312,0.442,0,11.9,96,11.1,96.9,0,0,1
"349","15K321",1421,0.069,0.034,0.146,0.075,0,2,96.4,2.9,96.1,0,0,1
"350","15K516",432,0.843,0.005,0.204,0.877,0,10.9,95.3,31.3,92.6,0,0,1
"351","15K676",193,0.949,0.435,0.316,0.979,1,43.9,89.3,43.8,87.6,0,0,0
"352","16K005",208,0.856,0.832,0.37,0.894,1,29.5,89.5,16.7,93.1,0,0,0
"353","16K021",573,0.83,0.85,0.206,0.761,1,29.7,91.7,34.6,90.2,0,0,0
"354","16K025",102,0.956,0.686,0.245,0.99,1,42.9,89.4,42.9,84.4,0,0,0
"355","16K026",226,0.859,0.624,0.226,0.814,1,42.6,90.5,45.5,88.2,1,0,0
"356","16K028",134,0.92,0.828,0.313,0.948,1,40.6,89.1,44.4,89.1,0,0,0
